Pupils,Girls,Boys,Gross_salary_year,Total_Teachers,Total_Teaching_Assistants ,Non_classroom_based_support,Full_Time_Teachers,Pupil_Teacher_Ratio,Grammer_score_AVERAGE,Math_score_AVERAGE,Reading_score_AVERAGE,School_Phase
413,50.1,49.9,44384,20,25,5,19.7,20.7,107,104,104,Primary
174,49.4,50.6,51780,12,12,4,9.2,18.6,103,102,101,Primary
219,51.1,48.9,45825,13,11,6,12.2,17.2,101,100,102,Primary
221,48.4,51.6,50373,13,19,3,11.8,18.6,109,107,104,Primary
220,48.6,51.4,43806,15,11,7,14,15.7,111,107,108,Primary
239,52.3,47.7,42571,13,15,5,13,18.2,103,103,100,Primary
218,49.5,50.5,49319,12,10,8,10.6,20.2,106,106,107,Primary
1126,31.5,68.5,48531,79,41,33,77.6,14.5,106,105,104,Secondary
1009,48.8,51.2,51372,68,29,21,66.8,15.1,103,101,99,Secondary
1544,46,54,49592,115,54,43,108.8,14.2,112,109,109,Secondary
779,51.7,48.3,46051,64,20,26,57.8,13.5,105,104,105,Secondary
1234,36.5,63.5,49070,93,25,30,86.3,14.3,107,104,103,Secondary
1165,49.5,50.5,48435,87,42,25,84.6,13.8,107,106,104,Secondary
1488,100,0,46715,126,31,41,118.9,12.5,106,105,104,Secondary
1392,43.9,56.1,43493,110,38,31,108,12.9,106,104,104,Secondary
888,88.5,11.5,48784,105,20,36,99.8,8.9,110,109,108,Secondary
522,46.9,53.1,50410,39,6,13,37.4,14,105,103,103,Secondary
652,47.7,52.3,43962,37,53,25,35.6,18,107,105,106,Primary
429,49,51,43025,26,18,5,25.1,16.9,105,103,103,Primary
441,50.1,49.9,45127,20,20,10,20,21.8,102,100,102,Primary
392,47.2,52.8,46584,20,26,14,18.3,21,106,105,105,Primary
573,0,100,48784,105,20,36,99.8,5.7,106,105,104,Secondary
504,48.2,51.8,43432,28,20,9,25.9,18.9,101,104,99,Primary
511,51.9,48.1,53246,27,52,8,24.8,20.6,110,111,108,Primary
277,53.1,46.9,41419,18,10,4,15.3,18.1,103,103,100,Primary
365,49.3,50.7,47805,23,14,7,18.2,19.4,110,106,106,Primary
927,44.2,55.8,45690,54,18,45,51.7,17.9,110,108,106,Secondary
